indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
2021-02-01,92954.23368112404,22322.62103430943,92954233.68111998,89908053.01556998,3046180.66555,92954233.68111998,30090418.939483996,26089199.968869206,32111865.511882994,4662749.260879998,92954233.68111998,65274742.248134,12129210.025470005,23633068.014650002,2964209.9321299996,10043345.312269999,11768651.947894,3978725.7002600003,757531.3154599998,13331244.025279999,1985959.50775,5106560.634039999,7255727.26592
2021-03-01,107225.88448978103,24627.553412049245,107225884.48978001,103243215.2959,3982669.1938799997,107225884.48978001,33646699.760530025,28304088.351349995,39721336.17659,5553760.2013112,107225884.48978001,75459017.55465901,12468763.319620002,29069610.328839995,3638242.4525299985,11823788.248000002,13353172.975238997,4214424.174690001,891016.0557400002,14963310.65866,2205228.88445,6918341.6043300005,7679985.787682
2021-04-01,106870.18588609398,23407.475069338758,106870185.88608995,102742178.64234994,4128007.2437400003,106870185.88608995,33030717.33914999,28509160.0986,39528435.059999995,5801873.388339999,106870185.88608995,76493949.46388401,11739913.650000002,29827096.111789003,3616384.0334220002,12309094.615401998,14047026.358151,4041721.7146799997,912712.9804400001,14912712.276950002,2217601.1994699994,6042114.41201,7203808.53378
2021-05-01,110604.69456479797,23368.393763666063,110604694.56479998,104997658.23470998,5607036.33009,110604694.56479998,33391018.41487,29448299.39426999,41132600.50917,6632776.246490001,110604694.56479998,78026097.546298,10758291.661589999,31328427.63126999,3801495.0800799998,13116541.50778,14204902.667358005,3924175.62047,892263.3777500001,14517188.309739998,2686103.38935,7849584.392559998,7525720.92685
2021-06-01,116287.89295616007,23677.99416274856,116287892.95615998,111477594.54618998,4810298.4099699985,116287892.95615998,34735136.74001,32637663.36478999,42074159.71627,6840933.135089999,116287892.95615998,80623853.6640056,11744001.500854203,32622021.607925497,3921981.95258,13537963.9593117,14134807.879120499,3748454.1741137006,914622.5900999999,14484893.559882898,3640081.8682999997,9514178.63086,8024885.233111579
2021-07-01,125658.55253241002,24779.46708113056,125658552.53241004,120904098.31748004,4754454.214929999,125658552.53241004,37973547.560765006,37146178.898209,43727330.43950201,6811495.633934002,125658552.53241004,87238128.85006,13755772.373499999,34683058.37417,4322896.980459999,14292062.104300003,15147184.62519,3985101.6066599996,1052052.7857800003,15724007.710099999,4051857.5072999997,9222787.619859997,9421770.84509
2021-08-01,124840.31996239901,23990.069055768367,124840319.96239999,120181530.94271998,4658789.019680001,124840319.96239999,38180625.55514,35434522.94616999,44242610.352050014,6982561.109040003,124840319.96239999,87044720.924779,13762712.181420004,34500426.752009995,4370305.272809998,14512831.617070002,14736387.947459003,4074608.9255400007,1087448.2284699995,15920169.137190001,2944642.7748399996,8443256.199600002,10487530.925990002
2021-09-01,123002.25242975802,22962.046342330883,123002252.42976004,118585472.17123003,4416780.258529999,123002252.42976004,38080750.85783998,34575381.28240999,43445911.37943999,6900208.910069997,123002252.42976004,87296730.50595802,14164245.33567,34298836.964778006,4333686.607450002,14489891.670489997,14721979.88949,4184266.09273,1103823.94535,16336755.107219998,2805934.30525,7977185.4935800005,8585647.017749999
2021-10-01,140487.48726625007,25386.745245625458,140487487.26625,136000643.3463,4486843.91995,140487487.26625,43323345.69436999,39697514.9889,50159841.63313002,7306784.94985,140487487.26625,97615705.17147,17838460.219970003,37081602.262490004,4773476.075109999,15561031.996109998,16349404.553149996,4785226.40222,1226503.66242,18501724.82248,3328328.42133,10919887.989030002,10121840.861939998
2021-11-01,141701.96065865096,25026.615284791493,141701960.658653,135950778.84937298,5751181.80928,141701960.658653,43762928.14926002,39925207.44942003,50752243.390599996,7261581.669369999,141701960.658653,95609863.772648,18180428.405251,36354580.021517,4509964.850234001,14720418.135492,15761449.149066007,4869397.98133,1213625.2297579998,18664160.818021,3209173.0829959996,12754368.885413002,11464394.099573
2021-12-01,183983.15187992307,31596.63098218946,183983151.87992013,178866721.2456501,5116430.63427,183983151.87992013,56640033.147035964,55432191.368078016,62999676.15227599,8911251.21253,183983151.87992013,128135286.608957,31992432.645506,45299912.36478298,5859939.040923,16175223.818707002,21265049.446353,5863700.607899001,1679028.6847859996,21753939.727032002,4759532.633840001,12669269.758664,16665123.151430005
2022-01-01,154517.09418196804,25464.131520078306,154517094.1819681,149697614.62836808,4819479.553599999,154517094.1819681,46962602.2164548,46053650.12931095,54048333.11802423,7452508.718179998,154517094.1819681,103783610.342116,20364496.479049,37585681.436856,4860317.679927002,16024257.392034998,17408486.728430998,6138441.197065001,1401929.4287529995,21330213.293162003,3782646.2193910005,12187552.347016001,13433071.980283003
2022-02-01,152202.57339011703,23803.20202289494,152202573.39011797,148406529.31365797,3796044.07646,152202573.39011797,46290956.20918649,45283575.24733588,53705893.17447563,6922148.759119999,152202573.39011797,105530494.04134099,20067560.910708997,38309789.320461,5045920.420571,16039817.802112002,18260738.307157,6436027.6914989995,1370639.5888319996,20305446.86275399,3875499.176168,9189746.139228,13301387.170626001
2022-03-01,168982.50227879308,24612.901369363753,168982502.27879015,164321107.28065014,4661394.998140001,168982502.27879015,51262080.993980005,47364363.87904,62416016.53691001,7940040.868859998,168982502.27879015,118823011.688603,19759206.70563,45484393.79168999,5922819.508782999,18353630.329650003,20827602.019110005,6886240.028900002,1589119.3048399999,22942013.091680005,3912852.4257200006,10898787.98983,12405837.082960002
2022-04-01,177148.08282020505,24141.199035434296,177148082.8202,173003799.07694,4144283.743260001,177148082.8202,53189998.67572,50063972.79192998,65357591.09137,8536520.261189999,177148082.8202,127796957.026236,20641687.399903007,50091673.47744399,6746166.557106999,19209464.023726,22877841.239947,6510665.780792001,1719458.547317,23131265.845283993,4228053.873539001,10081330.452604,11910475.622541996
2022-05-01,179641.5687331929,23235.09627264103,179641568.73318994,175360817.62030995,4280751.112880001,179641568.73318994,52738547.90800003,49886818.12474002,68085697.64074002,8930505.059710002,179641568.73318994,126462346.09404801,18584526.543642,50253932.79748001,6667406.176570002,20021494.178525,22841361.459609,6314142.081376001,1779482.856846,23580006.796903994,5211100.628950998,12039595.551802,12348519.661488
2022-06-01,196114.52481693198,24144.358858783595,196114524.81693196,192589093.23395196,3525431.58298,196114524.81693196,57393670.090090156,56360188.831809916,74521224.65406194,7839441.240970001,196114524.81693196,136919235.10753,20626468.807594005,55379842.94637298,7211046.254095001,21343950.791150004,24001843.363753,6484385.786925001,1871697.1576399999,24942763.324250996,6343019.158364001,14227174.861619,13682332.365168002
2022-07-01,228215.34473119714,26090.180313453297,228215344.73119712,220953272.93855712,7262071.792640001,228215344.73119712,66584224.03012287,68810894.09934743,83375854.5280367,9444372.07369,228215344.73119712,157121349.19250503,24920742.696632996,64457492.51580001,8106815.291278001,23852050.92824,26245558.340151,7416452.310886998,2122237.1095160004,29661826.557328995,6663881.805926,17852376.743119996,16915910.432317
2022-08-01,225510.55202726193,23930.970810936833,225510552.02726194,218264959.64484194,7245592.38242,225510552.02726194,67238055.80046576,67295008.1717892,81530628.47069703,9446859.584309999,225510552.02726194,158382184.413398,25138949.242460992,62966956.675767004,8437406.432349,25003740.406367995,26159930.46733001,8458232.460385,2216968.7287379997,29701558.816662997,4892813.351254,13650491.027912999,18883504.418034002
